Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cl. 161 # 54-25,Sotavento,4.74215770631345,-74.0549107320453,No VIS,53,Suba,41112,Alejandría - Faro
Cl. 159 # 54-35,Sotavento,4.74017063566339,-74.0555013841534,No VIS,11,Suba,41115,Alejandría - Azimut
Cr. 54 # 153-75,Sotavento,4.74000931891185,-74.0547701220141,No VIS,126,Suba,41116,Alejandría - Vintage
Cl. 159 # 54-69,Sotavento,4.74034225874492,-74.0562348760473,No VIS,21,Suba,41118,Alejandría - Portus
Cl. 159 # 54-36,Sotavento,4.74122548534095,-74.0549467885548,No VIS,57,Suba,41119,Alejandría - Mediterráneo
Cr. 52A # 175-66,Villa del Prado,4.75752965155045,-74.0504250477681,No VIS,68,Suba,41125,Parque Baviera
Cl. 137 # 55-42,Colina Campestre,4.72564621002701,-74.0611220832443,No VIS,2,Suba,41126,Arany
Av. Cr. 72 # 93-25,Lagartos,4.69730000011623,-74.0850999997929,No VIS,2,Suba,41127,Pontenovo
Cr. 7F # 145-88,Cedritos,4.72275712618421,-74.0303342841364,No VIS,1,Usaquén,41131,Imoval XIII
Cl. 147 # 12-80,Cedritos,4.72755047760106,-74.0360978200565,No VIS,7,Usaquén,41144,Gaia 147
Cl. 143 # 18-31,Cedritos,4.72449514047464,-74.0450231725109,No VIS,2,Usaquén,41153,ICR 143
Cr. 81 # 212-41,Guaymaral,4.79301243082579,-74.0617411926504,No VIS,1,Suba,41161,Reserva del Otoñal
Cl. 142 # 11-40,Cedritos,4.72171493846834,-74.0357278384592,No VIS,11,Usaquén,41167,Botanika Telus
